iso	minutes	views	likes	comments	perMin
2026-08-22T17:09:01.722Z	66.5	337	1	1	0.0
2026-08-22T17:11:30.676Z	69.5	337	1	1	0.0
2026-08-22T17:12:02.059Z	69.5	337	1	1	0.0
2026-08-22T17:14:31.013Z	72.5	337	1	1	0.0
2026-08-22T17:15:02.393Z	72.5	337	1	1	0.0
2026-08-22T17:17:31.348Z	75.5	337	1	1	0.0
2026-08-22T17:18:02.720Z	75.5	337	1	1	0.0
2026-08-22T17:20:31.673Z	78.5	337	1	1	0.0
2026-08-22T17:21:03.057Z	78.5	337	1	1	0.0
2026-08-22T17:23:32.003Z	81.5	337	1	1	0.0
2026-08-22T17:24:03.384Z	81.5	337	1	1	0.0
2026-08-22T17:26:32.342Z	84.5	337	1	1	0.0
2026-08-22T17:27:03.741Z	84.5	337	1	1	0.0
2026-08-22T17:29:32.686Z	87.5	337	1	1	0.0
2026-08-22T17:30:04.083Z	87.6	337	1	1	0.0
2026-08-22T17:32:33.028Z	90.5	337	1	1	0.0
2026-08-22T17:33:04.419Z	90.6	337	1	1	0.0
2026-08-22T17:35:33.373Z	93.5	337	1	1	0.0
2026-08-22T17:36:04.752Z	93.6	337	1	1	0.0
2026-08-22T17:38:33.709Z	96.5	337	1	1	0.0
2026-08-22T17:39:05.078Z	96.6	337	1	1	0.0
2026-08-22T17:41:34.062Z	99.5	337	1	1	0.0
2026-08-22T17:42:05.413Z	99.6	337	1	1	0.0
2026-08-22T17:44:34.398Z	102.5	337	1	1	0.0
2026-08-22T17:45:05.742Z	102.6	337	1	1	0.0
2026-08-22T17:47:34.733Z	105.5	337	1	1	0.0
2026-08-22T17:48:06.083Z	105.6	337	1	1	0.0
2026-08-22T17:50:35.058Z	108.5	337	1	1	0.0
2026-08-22T17:51:06.430Z	108.6	337	1	1	0.0
2026-08-22T17:53:35.405Z	111.5	337	1	1	0.0
2026-08-22T17:54:06.768Z	111.6	337	1	1	0.0
2026-08-22T17:56:35.743Z	114.5	337	1	1	0.0
2026-08-22T17:57:07.104Z	114.6	337	1	1	0.0
2026-08-22T17:59:36.071Z	117.6	337	1	1	0.0
2026-08-22T18:00:07.449Z	117.6	337	1	1	0.0
2026-08-22T18:02:36.399Z	120.6	337	1	1	0.0
2026-08-22T18:03:07.812Z	120.6	337	1	1	0.0
2026-08-22T18:05:36.719Z	123.6	337	1	1	0.0
2026-08-22T18:06:08.150Z	123.6	337	1	1	0.0
2026-08-22T18:08:37.045Z	126.6	337	1	1	0.0
2026-08-22T18:09:08.504Z	126.6	337	1	1	0.0
2026-08-22T18:11:37.377Z	129.6	337	1	1	0.0
2026-08-22T18:12:08.840Z	129.6	337	1	1	0.0
2026-08-22T18:14:37.714Z	132.6	337	1	1	0.0
2026-08-22T18:15:09.175Z	132.6	337	1	1	0.0
